,Name,href
88,Ruby’s Cafe,https://www.yelp.com/biz/rubys-cafe-new-york-4
89,Cheeky Sandwiches,https://www.yelp.com/biz/cheeky-sandwiches-new-york
90,Cheeky Sandwiches,https://www.yelp.com/biz/cheeky-sandwiches-new-york
91,Buvette,https://www.yelp.com/biz/buvette-new-york
92,Upstate Craft Beer & Oyster Bar,https://www.yelp.com/biz/upstate-craft-beer-and-oyster-bar-new-york-4
93,Sweet Chick,https://www.yelp.com/biz/sweet-chick-new-york
94,Shanghai 21,https://www.yelp.com/biz/shanghai-21-new-york-2
95,Boucherie West Village,https://www.yelp.com/biz/boucherie-west-village-new-york-3
96,Hart’s Restaurant,https://www.yelp.com/biz/harts-restaurant-brooklyn-2
97,Mika,https://www.yelp.com/biz/mika-brooklyn
98,MONO+MONO,https://www.yelp.com/biz/mono-mono-new-york-9
99,Tsurutontan Udon Noodle Brasserie,https://www.yelp.com/biz/tsurutontan-udon-noodle-brasserie-new-york
100,La Pecora Bianca,https://www.yelp.com/biz/la-pecora-bianca-new-york-6
101,Kimura,https://www.yelp.com/biz/kimura-new-york
102,Coco Bistro,https://www.yelp.com/biz/coco-bistro-peck-slip
103,Szechuan Mountain House,https://www.yelp.com/biz/szechuan-mountain-house-new-york-2
104,DOMODOMO - New York,https://www.yelp.com/biz/domodomo-new-york-new-york-4
105,Momofuku Noodle Bar - Uptown,https://www.yelp.com/biz/momofuku-noodle-bar-uptown-new-york
106,Em Vietnamese Bistro,https://www.yelp.com/biz/em-vietnamese-bistro-brooklyn
107,Rangoon,https://www.yelp.com/biz/rangoon-brooklyn
108,Dante,https://www.yelp.com/biz/dante-new-york
109,Emily,https://www.yelp.com/biz/emily-brooklyn-2
110,Ichibantei,https://www.yelp.com/biz/ichibantei-new-york
111,Clinton Street Baking Company,https://www.yelp.com/biz/clinton-street-baking-company-new-york-5
112,The River Café,https://www.yelp.com/biz/the-river-caf%C3%A9-brooklyn-3
113,Forma Pasta Factory,https://www.yelp.com/biz/forma-pasta-factory-brooklyn
114,The Four Horsemen,https://www.yelp.com/biz/the-four-horsemen-brooklyn
115,High Lúa Vietnamese Kitchen,https://www.yelp.com/biz/high-l%C3%BAa-vietnamese-kitchen-brooklyn
116,Very Fresh Noodles,https://www.yelp.com/biz/very-fresh-noodles-new-york
117,Hometown Bar-B-Que,https://www.yelp.com/biz/hometown-bar-b-que-brooklyn-3
118,L’Artusi,https://www.yelp.com/biz/l-artusi-new-york
119,Boqueria,https://www.yelp.com/biz/boqueria-new-york-16
120,Boqueria,https://www.yelp.com/biz/boqueria-new-york-16
121,Sama Street,https://www.yelp.com/biz/sama-street-brooklyn-2
122,Dante West Village,https://www.yelp.com/biz/dante-west-village-new-york
123,Bread & Spread,https://www.yelp.com/biz/bread-and-spread-dumbo
124,Excuse My French,https://www.yelp.com/biz/excuse-my-french-new-york
125,Fausto,https://www.yelp.com/biz/fausto-brooklyn
126,Pig Beach,https://www.yelp.com/biz/pig-beach-brooklyn
127,Francie,https://www.yelp.com/biz/francie-brooklyn
128,Pig & Butter,https://www.yelp.com/biz/pig-and-butter-new-york
129,Silver Factory,https://www.yelp.com/biz/silver-factory-brooklyn
130,Pig Beach,https://www.yelp.com/biz/pig-beach-brooklyn
131,Francie,https://www.yelp.com/biz/francie-brooklyn
132,Pig & Butter,https://www.yelp.com/biz/pig-and-butter-new-york
133,Silver Factory,https://www.yelp.com/biz/silver-factory-brooklyn
134,Paesano of Mulberry Street,https://www.yelp.com/biz/paesano-of-mulberry-street-new-york
135,Electric Lemon,https://www.yelp.com/biz/electric-lemon-new-york
136,Cafe Mogador,https://www.yelp.com/biz/cafe-mogador-brooklyn
137,Di An Di,https://www.yelp.com/biz/di-an-di-brooklyn-2
138,Barn Joo,https://www.yelp.com/biz/barn-joo-new-york-3
139,Mint Heights,https://www.yelp.com/biz/mint-heights-brooklyn
140,Barn Joo,https://www.yelp.com/biz/barn-joo-new-york-3
141,Mint Heights,https://www.yelp.com/biz/mint-heights-brooklyn
142,Aita,https://www.yelp.com/biz/aita-brooklyn
143,Kiki’s,https://www.yelp.com/biz/kikis-new-york
144,Root & Bone,https://www.yelp.com/biz/root-and-bone-new-york
145,CHILI,https://www.yelp.com/biz/chili-new-york
146,Roberta’s,https://www.yelp.com/biz/robertas-brooklyn-2
147,Java Indonesian Restaurant,https://www.yelp.com/biz/java-indonesian-restaurant-brooklyn
148,Miss Ada,https://www.yelp.com/biz/miss-ada-brooklyn-2
149,3 Times,https://www.yelp.com/biz/3-times-new-york-5
150,Taboonette,https://www.yelp.com/biz/taboonette-new-york
151,Boutros,https://www.yelp.com/biz/boutros-brooklyn
152,Luke’s Lobster Brooklyn Bridge Park,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2
153,Popina,https://www.yelp.com/biz/popina-brooklyn
154,Seaport House,https://www.yelp.com/biz/seaport-house-new-york
155,Aurora,https://www.yelp.com/biz/aurora-brooklyn
156,Ippudo NY,https://www.yelp.com/biz/ippudo-ny-new-york-7
157,Chama Mama,https://www.yelp.com/biz/chama-mama-new-york-2
158,The Orchard Townhouse,https://www.yelp.com/biz/the-orchard-townhouse-new-york
159,MOKYO,https://www.yelp.com/biz/mokyo-new-york-2
160,The Orchard Townhouse,https://www.yelp.com/biz/the-orchard-townhouse-new-york
161,MOKYO,https://www.yelp.com/biz/mokyo-new-york-2
162,Glasserie,https://www.yelp.com/biz/glasserie-brooklyn-2
163,Sushi Lab Rooftop NYC,https://www.yelp.com/biz/sushi-lab-rooftop-nyc-new-york-2
164,Upland,https://www.yelp.com/biz/upland-new-york
165,Saraghina Pizzeria,https://www.yelp.com/biz/saraghina-pizzeria-brooklyn-2
166,The Binc,https://www.yelp.com/biz/the-binc-brooklyn
167,Hole In The Wall - Williamsburg,https://www.yelp.com/biz/hole-in-the-wall-williamsburg-brooklyn
168,Marufuku Ramen - New York,https://www.yelp.com/biz/marufuku-ramen-new-york-new-york
169,James Provisions,https://www.yelp.com/biz/james-provisions-brooklyn
170,James Provisions,https://www.yelp.com/biz/james-provisions-brooklyn
171,Forsythia,https://www.yelp.com/biz/forsythia-new-york-3
172,Shu Jiao Fu Zhou Cuisine Restaurant,https://www.yelp.com/biz/shu-jiao-fu-zhou-cuisine-restaurant-new-york
173,Maomao,https://www.yelp.com/biz/maomao-brooklyn-5
174,Piccola Cucina Uptown,https://www.yelp.com/biz/piccola-cucina-uptown-new-york
175,David Burke TImeout Market,https://www.yelp.com/biz/david-burke-timeout-market-brooklyn
176,Frankies 457 Spuntino,https://www.yelp.com/biz/frankies-457-spuntino-brooklyn-3
177,La Pecora Bianca,https://www.yelp.com/biz/la-pecora-bianca-new-york
178,Fresh Salt,https://www.yelp.com/biz/fresh-salt-new-york
179,The Leroy House,https://www.yelp.com/biz/the-leroy-house-new-york-5
180,Tagmo Indian Kitchen,https://www.yelp.com/biz/tagmo-indian-kitchen-new-york
181,Barbuto,https://www.yelp.com/biz/barbuto-new-york-2
182,Colonie,https://www.yelp.com/biz/colonie-brooklyn
183,Freemans,https://www.yelp.com/biz/freemans-new-york-3
184,886,https://www.yelp.com/biz/886-new-york
185,Anassa Taverna,https://www.yelp.com/biz/anassa-taverna-new-york-3
186,Casa Ora,https://www.yelp.com/biz/casa-ora-brooklyn
187,Eleni’s,https://www.yelp.com/biz/elenis-new-york-3
188,Falansai,https://www.yelp.com/biz/falansai-brooklyn-2
189,Okonomi,https://www.yelp.com/biz/okonomi-brooklyn
190,Casa Ora,https://www.yelp.com/biz/casa-ora-brooklyn
191,Eleni’s,https://www.yelp.com/biz/elenis-new-york-3
192,Falansai,https://www.yelp.com/biz/falansai-brooklyn-2
193,Okonomi,https://www.yelp.com/biz/okonomi-brooklyn
194,Lighthouse,https://www.yelp.com/biz/lighthouse-brooklyn-2
195,Little Owl,https://www.yelp.com/biz/little-owl-new-york-3
196,Evelina,https://www.yelp.com/biz/evelina-brooklyn-2
197,FERNS,https://www.yelp.com/biz/ferns-new-york-7
198,Pineapple Club,https://www.yelp.com/biz/pineapple-club-new-york
199,Wild Ink,https://www.yelp.com/biz/wild-ink-new-york
200,City Vineyard,https://www.yelp.com/biz/city-vineyard-new-york
201,Peter Luger,https://www.yelp.com/biz/peter-luger-brooklyn-2
202,Bluestone Lane DUMBO Café,https://www.yelp.com/biz/bluestone-lane-dumbo-caf%C3%A9-brooklyn
203,DumboLuv,https://www.yelp.com/biz/dumboluv-brooklyn-3
204,The Hideaway Seaport,https://www.yelp.com/biz/the-hideaway-seaport-new-york
205,Jajaja Plantas Mexicana,https://www.yelp.com/biz/jajaja-plantas-mexicana-new-york-4
206,Pilot,https://www.yelp.com/biz/pilot-brooklyn
207,Alta,https://www.yelp.com/biz/alta-new-york
208,Emily - West Village,https://www.yelp.com/biz/emily-west-village-new-york
209,Chama Mama,https://www.yelp.com/biz/chama-mama-new-york
210,Peter Luger,https://www.yelp.com/biz/peter-luger-brooklyn-2
211,Taiwan Pork Chop House,https://www.yelp.com/biz/taiwan-pork-chop-house-new-york
212,Bluestone Lane DUMBO Café,https://www.yelp.com/biz/bluestone-lane-dumbo-caf%C3%A9-brooklyn
213,DumboLuv,https://www.yelp.com/biz/dumboluv-brooklyn-3
214,The Hideaway Seaport,https://www.yelp.com/biz/the-hideaway-seaport-new-york
215,Jajaja Plantas Mexicana,https://www.yelp.com/biz/jajaja-plantas-mexicana-new-york-4
216,Pilot,https://www.yelp.com/biz/pilot-brooklyn
217,Alta,https://www.yelp.com/biz/alta-new-york
