,Month,food_conflicts,result
60,Spring,"beef, brisket, potato, mashed, gravy, potatoes",54 illness 0 Hospitalizations 0 Deaths 
61,Spring,"cockles, mussels, clams, butter",42 illness 8 Hospitalizations 0 Deaths 
62,Summer,"fried rice, pork, chops, spring roll",62 illness 0 Hospitalizations 0 Deaths 
63,Summer&Autumn,"grouper, black, fish",12 illness 0 Hospitalizations 0 Deaths 
64,Summer,"pork, bbq, beans",54 illness 0 Hospitalizations 0 Deaths 
65,Autumn,"pasta, sauces, ground beef, salad",98 illness 0 Hospitalizations 0 Deaths 
66,Autumn,"cake, black, white, filling, icing",12 illness 0 Hospitalizations 0 Deaths 
67,Autumn,"alcohol, water, lemon, lime",16 illness 0 Hospitalizations 0 Deaths 
68,Spring,"salsa, carnitas, tomato, pork",272 illness 0 Hospitalizations 0 Deaths 
69,Summer,"beef, chili, refried beans, beans",44 illness 0 Hospitalizations 0 Deaths 
70,Autumn,"cake, carrot, frosting, cream cheese",32 illness 0 Hospitalizations 0 Deaths 
71,Autumn,"stuffing, gravy, mashed potato",90 illness 0 Hospitalizations 0 Deaths 
72,Winter,"lamb, kabobs, chicken",22 illness 0 Hospitalizations 0 Deaths 
73,Winter,"ham, turkey, roasted",28 illness 0 Hospitalizations 0 Deaths 
74,Summer,"ackawi cheese, pasteurized, chives cheese",4 illness 4 Hospitalizations 2 Deaths 
75,Autumn,"turkey, smoked, bbq",108 illness 6 Hospitalizations 0 Deaths 
76,Spring,"rice crispy treat, brownies, n, a",56 illness 2 Hospitalizations 0 Deaths 
77,Winter,"pork, roasted, yucca, rice, beans",16 illness 0 Hospitalizations 0 Deaths 
78,Winter,"pizza, tostada, sandwich, submarine, lettuce",44 illness 8 Hospitalizations 0 Deaths 
79,Winter,"garlic toast, salad, fish, haddock",16 illness 2 Hospitalizations 0 Deaths 
80,Winter,"antipasto, salad, ice, water, pizza",206 illness 4 Hospitalizations 0 Deaths 
81,Winter,"fruit salad, blueberries, grapes, pineapple, strawberries",12 illness 0 Hospitalizations 0 Deaths 
82,Spring,"coleslaw, beans, baked, n, a",70 illness 6 Hospitalizations 0 Deaths 
83,Spring,"milk, whole milk unpasteurized, ground beef",38 illness 10 Hospitalizations 0 Deaths 
84,Spring,"mesclun mix, spinach, lettuce",58 illness 0 Hospitalizations 0 Deaths 
85,Spring,"beef, brisket, soup, vegetable, based",140 illness 0 Hospitalizations 0 Deaths 
86,Spring,"salad, sandwich, lettuce",14 illness 0 Hospitalizations 0 Deaths 
87,Spring,"ground beef, hamburger, tea, dessert, strawberry",30 illness 2 Hospitalizations 0 Deaths 
88,Spring&Winter,"pate, chicken liver, liver, chicken",29 illness 4 Hospitalizations 0 Deaths 
89,Spring&Autumn&Spring,"sandwich, turkey, ham",239 illness 0 Hospitalizations 0 Deaths 
90,Spring,"cheese, rice, beans, taco meat",216 illness 0 Hospitalizations 0 Deaths 
91,Summer,"chicken, sweet, sour, juice, pineapple juice, salt, sugar, white",6 illness 0 Hospitalizations 0 Deaths 
92,Summer,"fish, tuna, spicy roll",9 illness 0 Hospitalizations 0 Deaths 
93,Winter,"salad, lettuce, leaf lettuce",186 illness 0 Hospitalizations 0 Deaths 
94,Spring&Winter,"vegetable, based salads, lettuce",27 illness 2 Hospitalizations 0 Deaths 
95,Summer,"sandwich, ham, cheese, macaroni, pork, bbq",96 illness 0 Hospitalizations 0 Deaths 
96,Summer,"melon, jicama, cucumber salad",234 illness 0 Hospitalizations 0 Deaths 
97,Winter,"potato, au gratin, ice, alcohol",76 illness 0 Hospitalizations 0 Deaths 
98,Autumn,"balsamic asparagus, roasted red pepper, potato, steak, filet mignon, cake, n, a",46 illness 0 Hospitalizations 0 Deaths 
99,Winter,"oysters, baked, buffet, egg, pork, bacon, spinach",8 illness 0 Hospitalizations 0 Deaths 
100,Winter,"shrimp coconut, shrimp dijon, green beans, mushrooms, spinach stuffed",52 illness 0 Hospitalizations 0 Deaths 
101,Winter,"butter, soda, n, a",142 illness 0 Hospitalizations 0 Deaths 
102,Summer,"beef, brisket, barbecue sauce, onions, coleslaw, beans, potato salad",6 illness 0 Hospitalizations 0 Deaths 
103,Autumn,"chicken, ribs, sausage",14 illness 2 Hospitalizations 0 Deaths 
104,Winter,"chicken, noodles, salad",62 illness 0 Hospitalizations 0 Deaths 
105,Autumn,"chicken, grilled, rice, brown, beans",6 illness 0 Hospitalizations 0 Deaths 
106,Winter,"refried beans, rice, beans",20 illness 0 Hospitalizations 0 Deaths 
107,Winter,"mahi, mahi burger, fish, mahi mahi",4 illness 0 Hospitalizations 0 Deaths 
108,Winter,"cake, cheese, potato, baked",46 illness 0 Hospitalizations 0 Deaths 
109,Spring,"sandwich, tuna fish, chicken",14 illness 0 Hospitalizations 0 Deaths 
110,Spring,"chicken, roasted, rice, fried rice",28 illness 0 Hospitalizations 0 Deaths 
111,Winter,"sandwich, salad, tomato",28 illness 2 Hospitalizations 0 Deaths 
112,Spring,"lettuce, green leaf lettuce, romaine lettuce, spinach",22 illness 0 Hospitalizations 0 Deaths 
113,Spring,"chicken, buffalo wings, fried rice",8 illness 0 Hospitalizations 0 Deaths 
114,Spring,"beef, laab raw, intestine soup, vegetables, laab cooked, raw",42 illness 10 Hospitalizations 0 Deaths 
